# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/asim/ssurf/s16/./iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.4 -i inputs.r888.555
# uid: 8850
# jobid: 5792842
# start_time: 1499707955
# start_time_asci: Mon Jul 10 10:32:35 2017
# end_time: 1499707981
# end_time_asci: Mon Jul 10 10:33:01 2017
# nprocs: 128
# run time: 27
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 498 bytes (compressed)
# record table: 278 bytes (compressed)
# POSIX module: 12674 bytes (compressed), ver=3
# MPI-IO module: 14794 bytes (compressed), ver=2
# LUSTRE module: 22188 bytes (compressed), ver=1
# STDIO module: 9473 bytes (compressed), ver=1
# DXT_POSIX module: 79846 bytes (compressed), ver=1
# DXT_MPIIO module: 12606 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/p0	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	dvs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	dvs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	dvs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	dvs
# mount entry:	/usr/sbin/ibstat	overlayfs
# mount entry:	/new_root/lower	dvs
# mount entry:	/var/spool/cron	overlayfs
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	dvs
# mount entry:	/etc/dat.conf	overlayfs
# mount entry:	/opt/cray/pe	dvs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	dvs
# mount entry:	/opt/chapel	dvs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/opt/intel	autofs
# mount entry:	/opt/intel	dvs
# mount entry:	/opt/java	dvs
# mount entry:	/opt/gcc	dvs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	dvs
# mount entry:	/dev	devtmpfs
# mount entry:	/	rootfs
# mount entry:	/	overlayfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 3488565796830679193, file_name: /global/cscratch1/sd/asim/ssurf/s16/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00608
# DXT, write_count: 154, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 16777216, Lustre stripe_count: 48
# DXT, Lustre OST obdidx: 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write       90     65229815808     16777216     16.2588     16.2970  [204]
 X_POSIX       0  write       91     66035122176     16777216     16.4576     16.4884  [204]
 X_POSIX       0  write       92     66840428544     16777216     16.5109     16.5405  [204]
 X_POSIX       0  write       93     67645734912     16777216     16.6269     16.6616  [204]
 X_POSIX       0  write       94     68451041280     16777216     16.7106     16.7343  [204]
 X_POSIX       0  write       95     69256347648     16777216     16.8266     16.8559  [204]
 X_POSIX       0  write       96     70061654016     16777216     16.8892     16.9128  [204]
 X_POSIX       0  write       97     70866960384     16777216     16.9452     16.9763  [204]
 X_POSIX       0  write       98     71672266752     16777216     17.0245     17.0596  [204]
 X_POSIX       0  write       99     72477573120     16777216     17.0813     17.1059  [204]
 X_POSIX       0  write      100     73282879488     16777216     17.2368     17.2640  [204]
 X_POSIX       0  write      101     74088185856     16777216     17.2810     17.3221  [204]
 X_POSIX       0  write      102     74893492224     16777216     17.3380     17.3665  [204]
 X_POSIX       0  write      103     75698798592     16777216     17.4316     17.4592  [204]
 X_POSIX       0  write      104     76504104960     16777216     17.4848     17.5694  [204]
 X_POSIX       0  write      105     77309411328     16777216     17.6086     17.6319  [204]
 X_POSIX       0  write      106     78114717696     16777216     17.6562     17.6947  [204]
 X_POSIX       0  write      107     78920024064     16777216     17.8301     17.8610  [204]
 X_POSIX       0  write      108     79725330432     16777216     17.8785     17.9010  [204]
 X_POSIX       0  write      109     80530636800     16777216     17.9126     17.9540  [204]
 X_POSIX       0  write      110     81335943168     16777216     18.0462     18.0725  [204]
 X_POSIX       0  write      111     82141249536     16777216     18.2951     18.3160  [204]
 X_POSIX       0  write      112     82946555904     16777216     18.5638     18.5876  [204]
 X_POSIX       0  write      113     83751862272     16777216     18.6948     18.7190  [204]
 X_POSIX       0  write      114     84557168640     16777216     18.7999     18.8230  [204]
 X_POSIX       0  write      115     85362475008     16777216     18.9009     18.9280  [204]
 X_POSIX       0  write      116     86167781376     16777216     18.9411     18.9738  [204]
 X_POSIX       0  write      117     86973087744     16777216     18.9952     19.0174  [204]
 X_POSIX       0  write      118     87778394112     16777216     19.0973     19.1194  [204]
 X_POSIX       0  write      119     88583700480     16777216     19.3037     19.3269  [204]
 X_POSIX       0  write      120     89389006848     16777216     19.3320     19.3635  [204]
 X_POSIX       0  write      121     90194313216     16777216     19.3864     19.4190  [204]
 X_POSIX       0  write      122     90999619584     16777216     19.4769     19.5210  [204]
 X_POSIX       0  write      123     91804925952     16777216     19.6651     19.6958  [204]
 X_POSIX       0  write      124     92610232320     16777216     19.7143     19.7396  [204]
 X_POSIX       0  write      125     93415538688     16777216     19.8249     19.8509  [204]
 X_POSIX       0  write      126     94220845056     16777216     19.9365     19.9945  [204]
 X_POSIX       0  write      127     95026151424     16777216     20.0420     20.0943  [204]
 X_POSIX       0  write      128     95831457792     16777216     20.1224     20.1761  [204]
 X_POSIX       0  write      129     96636764160     16777216     20.2082     20.2400  [204]
 X_POSIX       0  write      130     97442070528     16777216     20.3698     20.4267  [204]
 X_POSIX       0  write      131     98247376896     16777216     20.4932     20.5436  [204]
 X_POSIX       0  write      132     99052683264     16777216     20.6004     20.6638  [204]
 X_POSIX       0  write      133     99857989632     16777216     20.7327     20.7663  [204]
 X_POSIX       0  write      134    100663296000     16777216     20.9923     21.0235  [204]
